2 receivedTextFrom 1 1669396691.868069
1 sentTextTo 2 1669396691.88598
2 receivedTextFrom 1 1669396691.887954
1 sentTextTo 2 1669396691.907034
2 receivedTextFrom 1 1669396691.908866
4 sentTextTo 4 1669396691.928761
4 receivedTextFrom 4 1669396691.930469
4 sentTextTo 4 1669396691.951172
4 receivedTextFrom 4 1669396691.953544
4 sentTextTo 4 1669396691.974526
4 receivedTextFrom 4 1669396691.976233
1 sentTextTo 0 1669396691.998416
0 receivedTextFrom 1 1669396692.00046
1 sentTextTo 0 1669396692.019587
0 receivedTextFrom 1 1669396692.021463
1 sentTextTo 0 1669396692.040349
0 receivedTextFrom 1 1669396692.042154
3 sentTextTo 1 1669396692.062852
1 receivedTextFrom 3 1669396692.06471
3 sentTextTo 1 1669396692.083895
1 receivedTextFrom 3 1669396692.086036
3 sentTextTo 1 1669396692.104868
1 receivedTextFrom 3 1669396692.106773
0 sentTextTo 2 1669396692.127665
2 receivedTextFrom 0 1669396692.129818
0 sentTextTo 2 1669396692.148623
2 receivedTextFrom 0 1669396692.150516
0 sentTextTo 2 1669396692.169561
2 receivedTextFrom 0 1669396692.171459
1 sentTextTo 1 1669396692.192169
1 receivedTextFrom 1 1669396692.194094
1 sentTextTo 1 1669396692.214875
1 receivedTextFrom 1 1669396692.216612
1 sentTextTo 1 1669396692.236106
1 receivedTextFrom 1 1669396692.237809
4 sentTextTo 3 1669396692.260284
3 receivedTextFrom 4 1669396692.262104
4 sentTextTo 3 1669396692.281273
3 receivedTextFrom 4 1669396692.283248
4 sentTextTo 3 1669396692.302393
3 receivedTextFrom 4 1669396692.304213
4 sentTextTo 3 1669396692.324731
3 receivedTextFrom 4 1669396692.32682
4 sentTextTo 3 1669396692.345542
3 receivedTextFrom 4 1669396692.347286
4 sentTextTo 3 1669396692.366329
3 receivedTextFrom 4 1669396692.368203
3 sentTextTo 2 1669396692.388267
2 receivedTextFrom 3 1669396692.390448
3 sentTextTo 2 1669396692.408896
2 receivedTextFrom 3 1669396692.41075
3 sentTextTo 2 1669396692.429721
2 receivedTextFrom 3 1669396692.431641
2 sentTextTo 1 1669396692.449507
1 receivedTextFrom 2 1669396692.45157
2 sentTextTo 1 1669396692.470598
1 receivedTextFrom 2 1669396692.472455
2 sentTextTo 1 1669396692.49131
1 receivedTextFrom 2 1669396692.493225
0 sentTextTo 4 1669396692.513376
4 receivedTextFrom 0 1669396692.515318
0 sentTextTo 4 1669396692.534401
4 receivedTextFrom 0 1669396692.537541
0 sentTextTo 4 1669396692.555424
4 receivedTextFrom 0 1669396692.557263
4 sentTextTo 4 1669396692.578053
4 receivedTextFrom 4 1669396692.579936
4 sentTextTo 4 1669396692.599735
4 receivedTextFrom 4 1669396692.601542
4 sentTextTo 4 1669396692.622476
4 receivedTextFrom 4 1669396692.624197
4 sentTextTo 0 1669396692.646027
0 receivedTextFrom 4 1669396692.647976
4 sentTextTo 0 1669396692.666692
